1426	5BM
1427	5BF
1428	5BM
1429	5BF
1430	5BM
1431	5BF
1434	5BF
1435	5BM
1437	5BF
1439	5BM
1441	5BM
1443	5BF
1451	5AF
1452	5AM
1453	5AF
1457	5AF
1458	5AM
1459	5AM
1461	5AF
1465	5BF
1468	5AM
1471	5BM
1475	5BF
1477	5AM
1479	5AM
1480	5BF
1482	5BM
1483	5AF
1486	5BM
1489	5BF
1493	5AF
1495	5AM
1498	5AM
1500	4AM
1501	5AF
1502	5AF
1503	4AF
1504	4AF
1511	5AM
1516	5AM
1519	4AF
1520	5AF
1521	TeachersUnknown
1522	5AM
1524	4AF
1525	4AM
1528	4AM
1532	4AM
1533	4AM
1538	4AF
1539	4AF
1545	4AM
1546	4AF
1548	4AM
1549	4AM
1551	3BM
1552	3BF
1555	3BF
1558	3BM
1560	3BF
1562	3BF
1563	5BF
1564	3BM
1567	3BM
1570	3BF
1572	3BF
1574	3BF
1578	5BM
1579	3BM
1580	3BM
1585	5BM
1592	5BM
1594	3BM
1601	4BF
1603	2AF
1604	2AF
1606	2AF
1609	2AF
1613	2AM
1616	2AF
1617	2AF
1618	4AUnknown
1625	2AM
1628	2AM
1630	4BM
1632	4BF
1637	5AUnknown
1641	2AF
1643	2AF
1647	2AM
1648	2AF
1649	2AM
1650	TeachersUnknown
1653	TeachersUnknown
1656	1BM
1661	1BF
1663	1BF
1664	1BM
1665	1BM
1666	1BM
1668	TeachersUnknown
1670	1BF
1673	1BM
1674	1BF
1675	1BF
1680	1BF
1681	1BM
1682	1BF
1684	1BF
1685	3BF
1687	1BF
1688	1BM
1695	1BF
1696	1BF
1697	1BM
1698	1BM
1700	3BF
1702	2BF
1704	2BM
1705	4AM
1706	2BF
1707	3BM
1708	2BM
1709	TeachersUnknown
1710	2BM
1711	1AF
1712	3BF
1713	2BF
1714	3AM
1715	2BF
1718	2BF
1719	3AF
1720	3AF
1722	3AF
1723	3AM
1727	3BF
1730	4AUnknown
1731	3BM
1732	2BM
1735	3BM
1737	3AM
1738	3AF
1739	2BM
1741	3AM
1743	2BF
1744	3BM
1745	TeachersUnknown
1746	TeachersUnknown
1748	3AM
1749	2BF
1750	5BM
1751	5AF
1752	1AM
1753	TeachersUnknown
1757	1AF
1759	1AM
1760	1AF
1761	1AM
1763	3AM
1764	1AM
1765	1BF
1766	1AM
1767	1AM
1768	1AF
1770	1AF
1772	1AF
1774	1AF
1775	1AUnknown
1778	1AF
1779	1BM
1780	3AM
1782	3AM
1783	1AM
1787	1AF
1789	1AM
1790	1AF
1792	1AM
1795	3AF
1796	1AF
1797	4AM
1798	1AM
1799	1AUnknown
1800	3AF
1801	3AF
1802	4BM
1803	4BM
1805	4BM
1807	4BF
1809	3AF
1815	4AF
1818	4BM
1819	4BF
1820	3AM
1821	4BF
1822	3AM
1824	TeachersUnknown
1831	4BF
1833	3AM
1835	4BF
1836	4BM
1837	4AM
1838	3AM
1843	3AM
1847	4BM
1851	2BM
1852	TeachersUnknown
1854	2BF
1855	2BM
1857	4BF
1858	2BF
1859	3AF
1861	2BF
1863	2BM
1865	4BM
1866	4BM
1872	2BF
1877	2BF
1880	4BM
1883	2BM
1885	4BM
1887	2BM
1888	4BM
1889	2BF
1890	2BM
1892	4BM
1895	4BF
1897	2BF
1898	2BF
1902	2AM
1906	2AF
1907	2AF
1908	1BM
1909	3AM
1910	4BF
1911	2AM
1912	1BM
1913	2AF
1916	2AM
1917	2AF
1919	2AM
1920	1BF
1922	2AF
